仓位ID,交易对,方向,数量,开仓价格,开仓时间,平仓价格,平仓时间,状态,PnL,交易次数,原始开仓时间戳,原始平仓时间戳
SOL/USDT:USDT_1734925735195,SOL/USDT:USDT,多头,21,185.15238095238095,2024-12-23 11:48,186.97,2024-12-23 12:14,已平仓,38.16999999999999,4,1734925735195,1734927256273
SOL/USDT:USDT_1734928413194,SOL/USDT:USDT,空头,16,186.21,2024-12-23 12:33,185.33,2024-12-23 12:48,已平仓,14.079999999999927,8,1734928413194,1734929287420
SOL/USDT:USDT_1734930057059,SOL/USDT:USDT,空头,16,184.67999999999998,2024-12-23 13:00,183.57,2024-12-23 13:17,已平仓,17.759999999999764,9,1734930057059,1734931023822
SOL/USDT:USDT_1734934153329,SOL/USDT:USDT,空头,18,182.52,2024-12-23 14:09,182.24,2024-12-23 14:14,已平仓,5.0400000000000205,4,1734934153329,1734934484956
SOL/USDT:USDT_1734936040237,SOL/USDT:USDT,空头,5,181.54814814814813,2024-12-23 14:40,184.03,2024-12-23 16:48,已平仓,-12.40925926,8,1734936040237,1734943700443
SOL/USDT:USDT_1734943988849,SOL/USDT:USDT,多头,18,184.1752380952381,2024-12-23 16:53,184.88,2024-12-23 18:25,已平仓,12.685714285714369,7,1734943988849,1734949529547
SOL/USDT:USDT_1734949882404,SOL/USDT:USDT,空头,1,184.60666666666665,2024-12-23 18:31,182.83,2024-12-23 21:32,已平仓,1.7766666666666424,7,1734949882404,1734960751634
SOL/USDT:USDT_1734961319493,SOL/USDT:USDT,空头,10,181.43,2024-12-23 21:41,183.18,2024-12-23 22:03,已平仓,-17.5,8,1734961319493,1734962595587
SOL/USDT:USDT_1734969293420,SOL/USDT:USDT,空头,14,181.46999999999997,2024-12-23 23:54,184.09,2024-12-24 0:47,已平仓,-36.68,9,1734969293420,1734972446858
SOL/USDT:USDT_1734972856501,SOL/USDT:USDT,空头,1,185.38,2024-12-24 0:54,184.38,2024-12-24 1:37,已平仓,1,4,1734972856501,1734975434718
SOL/USDT:USDT_1734999241026,SOL/USDT:USDT,空头,15,188.88,2024-12-24 8:14,186.27,2024-12-24 10:18,已平仓,39.14999999999978,2,1734999241026,1735006690021
